date,event
11月1日,年賀はがき発売 点字の日 泡盛の日 本格焼酎の日 紅茶の日 玄米茶の日 すしの日 食い道楽の日 芸道楽の日 犬の日 カーペットの日 全国家具の日 計量記念日 生命保険の日 川の恵みの日 灯台記念日 自衛隊記念日
11月2日,キッチン・バスの日 タイツの日 書道の日 博物館デー 全国とうふ祭り(～6日)
11月3日,文化の日 文具の日 レコードの日 みかんの日 サンドイッチの日 ハンカチーフの日 いいお産の日 ゴジラの日 まんがの日
11月4日,ユネスコ憲章記念日
11月5日,いいりんごの日 電報の日 雑誌広告の日 世界津波の日 縁結びの日
11月6日,アパート記念日 お見合い記念日
11月7日,立冬(りっとう) あられ・おせんべいの日 ウェルカム・ウィンター・デー
11月8日,いい歯の日 刃物の日 レントゲンの日 ボイラーデー 世界都市計画の日 いいパックの日・包装デー(～9日)
11月9日,換気の日 119番の日 太陽暦採用記念日 秋の全国火災予防運動(～15日)
11月10日,エレベーターの日 技能の日 トイレの日 いい手の日・ハンドクリームの日 肢体不自由児愛護の日
11月11日,麺の日 ポッキー＆プリッツの日 いい買物の日 世界平和記念日 折り紙の日 ペアーズデー・恋人たちの日 靴下の日 ジュエリーデー 西陣の日 電池の日 配線器具の日 サッカーの日 ピーナッツの日 チーズの日 鮭の日 もやしの日 きりたんぽの日 かりんとうの日 コピーライターの日 煙突の日 磁気の日 電池月間(～12日) 男女共同参画週間(～17日)
11月12日,洋服記念日 皮膚の日
11月13日,うるしの日 さつまいもの日 茨城県民の日 いいひざの日
11月14日,アンチエイジングの日 埼玉県民の日 ウーマンリブの日 パチンコの日 いい石の日 盛人(せいじん)の日
11月15日,七五三 きものの日 かまぼこの日 生コンクリート記念日 ボジョレーヌーボー解禁日 昆布の日
11月16日,幼稚園記念日 いいいろ塗装の日 いいいろの日 録音文化の日 国際寛容デー
11月17日,レンコンの日 将棋の日  
11月18日,土木の日 いい家の日 音楽著作権の日 森とふるさとの日 暮らしと土木の週間(～24日)
11月19日,世界トイレデー 農協記念日 鉄道電化の日 緑のおばさんの日 ハイビジョンウィーク(～25日)
11月20日,いい乾物の日 山梨県民の日 世界子どもの日 毛皮の日 ピザの日 ホテルの日
11月21日,フライドチキンの日 インターネット記念日 世界テレビ・デー 寄生虫病予防運動(～30日)
11月22日,ふるさと誕生日（和歌山県） 回転寿司記念日 ボタンの日 いい夫妻の日 大工さんの日 いいりんごの日
11月23日,小雪(しょうせつ) 勤労感謝の日 手袋の日 外食の日 ゲームの日 Jリーグの日 家族の日 いい夫婦の日 いい兄さんの日 いいふみの日
11月24日,鰹節の日 進化の日 オペラ記念日
11月25日,OLの日 ハイビジョンの日  
11月26日,ペンの日 いい風呂の日
11月27日,ノーベル賞制定記念日 更生保護記念日 いい鮒の日
11月28日,太平洋記念日 税関記念日 全国リクレェーション週間(～12月4日)
11月29日,いい服の日 いい肉の日
11月30日,本みりんの日 絵本の日 鏡の日 カメラ(オートフォーカス)の日 シルバーラブの日
